name,date,open,max,min,close,adjclose,volume
Oro,06/11/2020,1940.80,1958.80,1940.80,1950.30,1950.30,304
Oro,05/11/2020,1901.70,1948.00,1901.70,1945.30,1945.30,135
Petróleo Brent,31/03/2021,1685.90,1696.40,1676.50,1695.60,1695.60,106000
Petróleo Brent,30/03/2021,1711.00,1712.60,1676.50,1683.90,1683.90,135457
Petróleo Brent,29/03/2021,1712.10,1712.10,1712.10,1712.10,1712.10,135457
Petróleo Brent,26/03/2021,1721.30,1732.20,1721.30,1732.20,1732.20,33
Petróleo Brent,25/03/2021,1732.70,1733.20,1724.50,1724.90,1724.90,15
Petróleo Brent,24/03/2021,1727.50,1732.90,1727.50,1732.90,1732.90,26
Petróleo Brent,23/03/2021,1724.70,1724.70,1724.70,1724.70,1724.70,6
Petróleo Brent,22/03/2021,1737.80,1737.80,1737.80,1737.80,1737.80,51
Petróleo Brent,19/03/2021,1742.20,1742.20,1733.60,1741.40,1741.40,13
Petróleo Brent,18/03/2021,1745.80,1750.30,1721.80,1732.20,1732.20,138
Petróleo Brent,17/03/2021,1735.30,1750.10,1725.60,1726.80,1726.80,488
Petróleo Brent,16/03/2021,1732.30,1733.90,1726.00,1730.60,1730.60,729
Petróleo Brent,15/03/2021,1729.50,1731.90,1722.80,1728.90,1728.90,147
Petróleo Brent,12/03/2021,1715.90,1722.50,1699.00,1719.50,1719.50,80
Petróleo Brent,11/03/2021,1725.60,1737.50,1720.20,1722.30,1722.30,18
Petróleo Brent,10/03/2021,1713.60,1722.90,1711.00,1721.50,1721.50,412
Petróleo Brent,09/03/2021,1686.20,1717.50,1685.20,1716.60,1716.60,335
Petróleo Brent,08/03/2021,1704.70,1705.40,1673.70,1677.70,1677.70,1290
Petróleo Brent,05/03/2021,1690.60,1701.00,1685.00,1698.00,1698.00,302
Petróleo Brent,04/03/2021,1706.50,1717.40,1700.20,1700.20,1700.20,521
Petróleo Brent,03/03/2021,1730.00,1732.40,1703.50,1715.30,1715.30,501
Petróleo Brent,02/03/2021,1709.40,1733.10,1708.70,1733.10,1733.10,867
Petróleo Brent,01/03/2021,1737.10,1747.00,1720.30,1722.50,1722.50,407
Petróleo Brent,26/02/2021,1768.10,1768.20,1718.80,1728.10,1728.10,1593
Petróleo Brent,25/02/2021,1801.50,1802.00,1766.70,1774.40,1774.40,1049
Petróleo Brent,24/02/2021,1805.80,1805.80,1796.40,1796.40,1796.40,1500
Petróleo Brent,23/02/2021,1809.60,1811.30,1796.40,1804.40,1804.40,569
Petróleo Brent,22/02/2021,1784.00,1807.80,1784.00,1806.70,1806.70,165
Petróleo Brent,19/02/2021,1764.30,1787.60,1764.30,1775.80,1775.80,118
Petróleo Brent,18/02/2021,1776.10,1784.60,1766.00,1773.40,1773.40,587
Petróleo Brent,17/02/2021,1785.80,1789.70,1768.80,1771.10,1771.10,614
Petróleo Brent,16/02/2021,1820.90,1823.40,1787.30,1797.20,1797.20,1141
Petróleo Brent,12/02/2021,1825.00,1827.50,1809.20,1821.60,1821.60,259
Petróleo Brent,11/02/2021,1840.50,1845.00,1820.90,1824.90,1824.90,602
Petróleo Brent,10/02/2021,1842.60,1851.10,1837.00,1840.60,1840.60,543
Petróleo Brent,09/02/2021,1841.90,1843.30,1830.70,1835.30,1835.30,184
Petróleo Brent,08/02/2021,1816.30,1836.70,1809.00,1831.90,1831.90,254
Petróleo Brent,05/02/2021,1794.30,1813.50,1790.90,1810.90,1810.90,1278
Petróleo Brent,04/02/2021,1832.20,1832.20,1782.80,1788.90,1788.90,2375
Petróleo Brent,03/02/2021,1834.80,1842.40,1829.80,1832.20,1832.20,1195
Petróleo Brent,02/02/2021,1859.60,1861.30,1827.60,1830.50,1830.50,1293
Petróleo Brent,01/02/2021,1866.60,1871.90,1850.00,1860.80,1860.80,1494
Petróleo Brent,29/01/2021,1842.00,1876.00,1838.70,1847.30,1847.30,1634
Petróleo Brent,28/01/2021,1843.40,1862.90,1831.50,1837.90,1837.90,27283
Petróleo Brent,27/01/2021,1844.90,1844.90,1844.90,1844.90,1844.90,195540
Petróleo Brent,26/01/2021,1855.80,1855.80,1850.70,1850.70,1850.70,59
Petróleo Brent,25/01/2021,1864.70,1864.70,1851.80,1854.90,1854.90,26
Petróleo Brent,22/01/2021,1854.90,1855.70,1852.70,1855.70,1855.70,8
Petróleo Brent,21/01/2021,1865.30,1868.00,1865.30,1865.30,1865.30,6
Petróleo Brent,20/01/2021,1847.80,1866.60,1844.40,1865.90,1865.90,16
Petróleo Brent,19/01/2021,1802.00,1842.90,1802.00,1839.50,1839.50,13
Petróleo Brent,15/01/2021,1829.40,1829.40,1825.00,1829.30,1829.30,31
Petróleo Brent,14/01/2021,1836.70,1850.70,1836.70,1850.30,1850.30,149
Petróleo Brent,13/01/2021,1858.00,1858.60,1853.60,1853.60,1853.60,189
Petróleo Brent,12/01/2021,1849.00,1859.70,1839.40,1842.90,1842.90,176
Petróleo Brent,11/01/2021,1826.50,1849.60,1826.50,1849.60,1849.60,20
Petróleo Brent,08/01/2021,1908.00,1908.00,1834.10,1834.10,1834.10,60
Petróleo Brent,07/01/2021,1922.60,1926.70,1912.00,1912.30,1912.30,122
Petróleo Brent,06/01/2021,1952.00,1959.90,1901.50,1906.90,1906.90,331
Petróleo Brent,05/01/2021,1941.70,1952.70,1941.30,1952.70,1952.70,113
Petróleo Brent,04/01/2021,1912.20,1945.10,1912.20,1944.70,1944.70,154
Petróleo Brent,31/12/2020,1897.00,1901.30,1892.70,1893.10,1893.10,127
Petróleo Brent,30/12/2020,1879.90,1895.80,1877.30,1891.00,1891.00,444
Petróleo Brent,29/12/2020,1881.30,1881.30,1879.70,1879.70,1879.70,343
Petróleo Brent,28/12/2020,1895.50,1895.80,1873.70,1877.20,1877.20,75
Petróleo Brent,24/12/2020,-,-,-,-,-,-
Petróleo Brent,23/12/2020,1867.00,1878.80,1864.50,1874.70,1874.70,82
Petróleo Brent,22/12/2020,1882.20,1882.20,1861.00,1866.60,1866.60,233
Petróleo Brent,21/12/2020,1884.80,1908.00,1869.10,1879.20,1879.20,136
Petróleo Brent,18/12/2020,1882.40,1889.50,1882.30,1885.70,1885.70,276
Petróleo Brent,17/12/2020,1874.20,1896.20,1874.20,1887.20,1887.20,414
Petróleo Brent,16/12/2020,1856.50,1864.70,1850.50,1856.10,1856.10,1090
Petróleo Brent,15/12/2020,1833.50,1853.60,1833.20,1852.30,1852.30,961
Petróleo Brent,14/12/2020,1835.50,1835.70,1822.70,1828.70,1828.70,258
Petróleo Brent,11/12/2020,1838.50,1846.00,1829.10,1839.80,1839.80,109
Petróleo Brent,10/12/2020,1833.20,1849.10,1828.00,1833.60,1833.60,177
Petróleo Brent,09/12/2020,1867.10,1867.10,1827.00,1834.60,1834.60,215
Petróleo Brent,08/12/2020,1863.00,1875.80,1861.80,1870.80,1870.80,121
Petróleo Brent,07/12/2020,1836.50,1866.90,1820.80,1861.80,1861.80,1427
Petróleo Brent,04/12/2020,1840.70,1847.60,1828.20,1835.90,1835.90,1213
Petróleo Brent,03/12/2020,1829.20,1842.00,1825.30,1836.80,1836.80,1765
Petróleo Brent,02/12/2020,1811.30,1830.00,1807.80,1825.70,1825.70,771
Petróleo Brent,01/12/2020,1775.00,1815.90,1774.90,1814.10,1814.10,1859
Petróleo Brent,30/11/2020,1785.00,1787.20,1762.30,1775.70,1775.70,3145
Petróleo Brent,27/11/2020,-,-,-,-,-,-
Petróleo Brent,25/11/2020,1801.40,1805.70,1801.40,1805.70,1805.70,205754
Petróleo Brent,24/11/2020,1829.30,1829.30,1799.30,1804.80,1804.80,1041
Petróleo Brent,23/11/2020,1834.80,1837.80,1829.20,1837.80,1837.80,843
Petróleo Brent,20/11/2020,1871.20,1872.60,1871.20,1872.60,1872.60,1900
Petróleo Brent,19/11/2020,1865.80,1865.80,1856.00,1861.10,1861.10,59
Petróleo Brent,18/11/2020,1873.50,1873.50,1873.50,1873.50,1873.50,152
Petróleo Brent,17/11/2020,1888.40,1888.40,1884.50,1884.50,1884.50,59
Petróleo Brent,16/11/2020,1874.60,1887.30,1871.00,1887.30,1887.30,6
Petróleo Brent,13/11/2020,1877.00,1890.10,1876.80,1885.70,1885.70,240
Petróleo Brent,12/11/2020,1869.00,1878.50,1866.60,1872.60,1872.60,220
Petróleo Brent,11/11/2020,1878.80,1878.80,1855.50,1860.70,1860.70,222
Petróleo Brent,10/11/2020,1879.30,1885.30,1871.20,1875.40,1875.40,276
Petróleo Brent,09/11/2020,1955.60,1963.20,1847.10,1853.20,1853.20,745
Petróleo Brent,06/11/2020,1940.80,1958.80,1940.80,1950.30,1950.30,304
Petróleo Brent,05/11/2020,1901.70,1948.00,1901.70,1945.30,1945.30,135
